OBJECTID;Código upz;Nombre upz;Total Homicidios 2019;Total Lesiones Personales 2019;Total Hurto Personas 2019;Total Hurto Residencias 2019;Total Hurto Automotores 2019;Total Hurto Bicicletas 2019;Total Hurto Comercio 2019;Total Hurto Celulares 2019;Total Hurto Motocicletas 2019;Total Delitos Sexuales 2019;Total Violencia intrafamiliar 2019;Total Hechos delitos de alto impacto;coord_x;coord_y
397;UPZ100;Galerias;2;88;1,573;112;21;88;199;785;10;33;78;1417,573;-74,0727543;4,643543578
348;UPZ10;La Uribe;1;42;661;33;4;45;208;312;7;14;90;1417;-74,03096172;4,751145388
360;UPZ32;San Blas;7;220;284;61;22;7;62;177;28;68;464;1400;-74,08128019;4,562267764
393;UPZ104;Parque Simon Bolivar - Can;0;38;757;14;8;60;65;387;4;39;16;1388;-74,09133293;4,647745256
392;UPZ88;El Refugio;0;31;739;65;3;34;150;293;2;7;20;1344;-74,04666752;4,66600472
433;UPZ53;Marco Fidel Suarez;12;218;425;57;18;10;54;223;27;53;244;1341;-74,1157154;4,570019806
370;UPZ113;Bavaria;3;86;569;31;30;36;196;284;21;13;71;1340;-74,1286694;4,636789034
413;UPZ90;Pardo Rubio;0;77;620;89;12;25;81;289;5;28;93;1319;-74,05657118;4,640909644
419;UPZ81;Gran Britalia;6;169;385;67;21;39;55;163;54;26;330;1315;-74,17497362;4,619883695
386;UPZ87;Tintal Sur;9;209;282;60;11;38;43;111;27;89;402;1281;-74,21028057;4,629489604
423;UPZ94;La Candelaria;1;208;1,225;30;29;25;230;459;3;165;128;1279,225;-74,07207052;4,596605054
351;UPZ19;El Prado;6;116;1,264;74;34;81;122;624;5;14;194;1271,264;-74,0568462;4,724176744
326;UPZ102;La Sabana;37;344;3,308;63;31;91;389;1,686;38;75;192;1264,994;-74,08448953;4,611045037
428;UPZ115;Capellania;1;30;681;19;13;45;65;326;13;6;52;1251;-74,12716203;4,679207816
382;UPZ18;Britalia;1;56;529;67;18;61;43;254;10;27;184;1250;-74,0568238;4,747592365
437;UPZ97;Chico Lago;3;155;5,217;70;5;185;738;2,471;9;21;47;1240,688;-74,05422028;4,671502056
333;UPZ25;La Floresta;0;27;598;38;12;49;117;304;6;11;68;1230;-74,07990692;4,699647468
358;UPZ36;San Jose;1;143;496;43;28;12;62;226;33;33;149;1226;-74,10433859;4,573736496
381;UPZ56;Danubio;9;200;377;33;10;3;153;207;24;35;173;1224;-74,11603705;4,535363946
337;UPZ108;Zona Industrial;5;180;1,064;20;15;43;242;482;21;134;69;1212,064;-74,09718801;4,618924575
390;UPZ33;Sosiego;4;142;434;43;24;12;76;208;28;37;162;1170;-74,08552022;4,578078865
403;UPZ109;Ciudad Salitre Oriental;0;24;658;16;4;31;123;282;2;3;15;1158;-74,10179383;4,643262606
417;UPZ112;Granjas De Techo;3;71;1,165;26;23;105;262;558;18;11;75;1153,165;-74,1260685;4,653265863
436;UPZ23;Casa Blanca Suba;0;25;480;42;5;43;243;196;5;11;99;1149;-74,0695164;4,744020129
394;UPZ49;Apogeo;3;76;496;31;13;17;25;275;12;12;163;1123;-74,16507647;4,600309348
401;UPZ116;Alamos;2;26;565;23;16;65;83;266;7;9;34;1096;-74,11723713;4,685576243
361;UPZ62;Tunjuelito;1;135;379;39;9;18;64;184;18;42;179;1068;-74,12902825;4,558443683
331;UPZ11;San Cristobal Norte;7;129;318;59;10;29;62;134;22;49;232;1051;-74,02318348;4,736285347
328;UPZ55;Diana Turbay;12;175;245;62;11;6;20;127;33;53;306;1050;-74,10866466;4,544549762
324;UPZ51;Los Libertadores;4;193;200;38;8;4;49;100;15;38;373;1022;-74,09046854;4,532509269
434;UPZ15;Country Club;0;31;509;41;4;22;109;225;1;8;29;979;-74,04342707;4,710419209
395;UPZ95;Las Cruces;9;98;439;24;4;14;48;196;2;36;93;963;-74,0821651;4,590334355
383;UPZ91;Sagrado Corazon;0;70;1,278;22;5;42;151;605;4;14;24;938,278;-74,06593684;4,619881431
420;UPZ106;La Esmeralda;0;42;451;54;7;54;65;165;6;3;42;889;-74,08637185;4,648285214
356;UPZ77;Zona Franca;0;68;292;27;12;34;93;119;11;24;199;879;-74,16132915;4,676125887
376;UPZ93;Las Nieves;8;277;3,455;24;9;47;370;1,816;10;29;84;863,271;-74,07416356;4,604978848
346;UPZ99;Chapinero;6;147;3,296;82;10;80;417;1,685;6;23;78;853,981;-74,06382882;4,638494941
357;UPZ35;Ciudad Jardin;2;70;376;33;20;9;28;194;16;13;86;847;-74,09310357;4,583638349
389;UPZ92;La Macarena;0;38;414;15;1;10;36;206;1;13;25;759;-74,06464878;4,610507804
416;UPZ68;El Tesoro;18;160;148;46;11;5;41;68;9;39;197;742;-74,14154694;4,538584071
384;UPZ76;Fontibon San Pablo;3;57;213;39;12;27;35;97;5;21;133;642;-74,16060568;4,69482476
388;UPZ117;Aeropuerto El Dorado;0;22;277;0;1;8;32;284;0;2;10;636;-74,14239608;4,69892845
322;UPZ96;Lourdes;7;146;147;23;4;3;26;67;6;20;180;629;-74,07089098;4,585386913
411;UPZ83;Las Margaritas;0;38;263;16;10;29;10;146;11;14;72;609;-74,17835385;4,63710831
410;UPZ78;Tintal Norte;0;52;166;10;14;19;28;72;26;8;69;464;-74,15316181;4,657269994
375;UPZ103;Parque Salitre;0;18;191;6;3;12;19;99;1;4;14;367;-74,08539878;4,661106455
378;UPZ105;Jardin Botanico;0;15;205;3;0;17;12;101;1;4;8;366;-74,101861;4,662940861
347;UPZ52;La Flora;12;59;39;11;6;2;16;16;9;26;106;302;-74,08939554;4,506976721
377;UPZ1;Paseo De Los Libertadores;0;11;134;3;4;5;52;68;2;1;11;291;-74,03373463;4,791482693
402;UPR1;Upr Zona Norte;3;20;88;10;2;5;25;45;0;7;10;215;-74,0794593;4,792803382
425;UPZ89;San Isidro - Patios;1;24;35;6;2;6;6;16;1;6;79;182;-74,01946492;4,667742396
364;UPR3;Upr Rio Tunjuelo;17;46;19;6;1;0;4;9;4;20;50;176;-74,15840977;4,396346157
409;UPZ2;La Academia;0;3;62;0;0;0;16;30;1;4;2;118;-74,04915137;4,785227898
422;UPZ63;El Mochuelo;2;15;17;1;3;2;5;10;0;2;7;64;-74,13001136;4,537986445
396;UPZ60;Parque Entrenubes;0;15;14;2;0;0;0;8;0;3;11;53;-74,10090144;4,52728264
418;UPZ64;Monte Blanco;0;11;2;5;1;0;1;1;0;6;24;51;-74,132274;4,499149747
